,gaia_dr3_source_id
13133,6914902607896607104
13149,2163303219439297280
13162,6882657745783901824
13167,1845792127083324672
13171,1872821314055538944
13172,1764788902156456704
13174,6483305501851121792
13182,4227640144583303296
13219,6370177983123101184
13221,6370177987417784320
13228,6484991083238790016
13274,2196907627679387648
13283,1737331691621128192
13292,1813750223652154496
13298,6915656559339861504
13311,1869795943401280384
13325,6807569893404596352
13365,1731371376524366976
13395,6882892560236946944
13401,6913810483611035776
13418,1871558559311664768
13422,6457292942226421376
13444,6476517220139236480
13445,6809162020601118464
13486,1866580318561809792
13487,6809396800693752576
13501,6916559361465228288
13522,6802200604463648000
13535,6809227548918944384
13545,1756725152590009344
13564,6484234103843172736
13567,1845552296111406592
13583,1864564359690185088
13591,1761676189023883776
13600,6425135873540912000
13604,1864931459133510912
13612,1837552867981107584
13623,2190771283350089984
13637,2190997134209053824
13644,1729465132600308992
13645,6773854228332228608
13661,6910772872287730176
13665,2168504905878255616
13673,1758546253081710464
13686,6917493911996744192
13691,1756412582048348928
13712,1737075642850176128
13722,1736692394330947584
13725,1864946238115509376
13737,1866605263732785792
13742,6455914296380436352
13746,6455914296380435712
13768,1866414665961991424
13771,1738310016450552448
13778,6483475342037245184
13780,6483872708115513600
13784,6881717143651569664
13801,6376643695610098816
13804,6478328218869704192
13827,6451278201305210624
13831,6780387423345518208
13850,6804172647289013888
13862,1845948807496711680
13882,1866342682315337088
13904,6376652392918420352
13936,1841253373149922688
13989,6885217889890166656
14047,2162694914656212224
14096,6477036219690811136
14110,6450005349094365568
14143,6450001118550429056
14190,6368334617519702656
14203,1865477160505807744
14205,1759921742129798656
14255,6369831469457388800
14269,6374994088865117312
14275,1871930606558336896
14276,1871930610867039616
14294,1838099527127634560
14296,2176873834331804672
14310,1729985407757746816
14321,6479787678819901568
14345,1790003731724029696
14354,1968482948841048704
14388,6895430424471277056
14407,1758942012842831104
14424,2176921250777354624
14430,6780778991220781440
14449,2689069472018944896
14481,1868945574228800512
14488,1841001172670205056
14492,1853084844128213632
14508,6807923803004531072
14526,1867079973575187968
14538,2271685550922811136
14540,2298769168014230528
14549,1744903066127593088
14571,1970054533224387072
14578,6480211373050615680
14609,6786943403159625472
14610,6786943398864940032
14619,6368988556355913600
14645,6368260714018137856
14654,6912482651522845312
14667,6910805342238827648
14694,6911308235665163264
14695,6803242323012416768
14710,6788644107130998144
14722,1788485821562095104
14728,1968603242288707840
14730,2189534951245689216
14733,2690763205257368832
14737,1852685236061370496
14742,6804914366665785728
14759,6787046413658106240
14788,6833705387875942144
14800,6400862264573935488
14806,6478960296320517504
14813,2165699497658180864
14827,1852733202258176128
14833,1746649782083602304
14834,6775903859742183680
14846,6451818684286200064
14914,6775943403505106944
14937,2175372107605813888
14940,6788867234976312064
14959,1760515581485874432
14973,6835434885306997248
14976,6464362497049773312
15004,1964790483856452224
15015,1788085904274361344
15023,6898489884295407488
15024,6898489884295412352
15031,6576797456595058176
15038,1854877490451689600
15040,1847923667813636608
15053,6898705800892401280
15057,1840810854079992832
15058,1840810858375964544
15063,1854688584905256704
15064,1854688580609094016
15086,1968708971507873792
15093,1743776547746483840
15103,2164850850772924800
15115,6479280189778979968
15133,1759659474245790720
15168,1759300964735458176
15183,1740077893710129536
15198,2172269427537854592
15199,6451483947419090688
15201,6787623275008516480
15209,6464574423621803648
15211,6891769428709519872
15215,2172149542102862720
15227,6580458035746362496
15229,6580551872194787968
15235,6898871449189731840
15242,6829523567198666624
15245,2177417306616696832
15265,2165066556920503424
15277,2191230299390616704
15281,6449908381616019840
15291,2191057538634784512
15292,1851610948780513536
15294,6466132607693274496
15295,6466132607691464320
15300,6466341751124254336
15307,1759677891065796608
15331,6790527978570456192
15343,6583364702110944384
15351,6453149024634671744
15370,1790543175321675904
15371,6790568080680157696
15389,2171985233839188864
15407,6401745442992545280
15408,6828831222765327616
15423,6791285855614793472
15441,2685521622873847296
15464,2692932129382067072
15489,6584034717006593536
15497,6834550603080004864
15499,6836250894734948352
15504,6829544938956116352
15510,2689364416012661760
15520,6347967916961839360
15526,6892219644359395584
15528,1785607055307161856
15530,2222093036729228032
15534,6453256295739241856
15578,6575642965091520640
15582,6782968462468475904
15585,1739700181400523520
15619,6583705443338572416
15620,6583705447633572736
15642,6891062683248892416
15677,6356129011952895744
15683,6891038528355192576
15699,1850231057390463488
15717,6897694220128108544
15719,1850230919951509504
15732,6892672956683477248
15734,6575802329853184896
15747,6890740496277672320
15758,1970884454039426944
15819,1965479430974748160
15822,1970363903998706688
15824,1970563465364835200
15825,1970563572739456128
15844,1740349782319868672
15845,2284506200100795776
15849,6791027809683841792
15857,6577159024123317504
15871,6371674766341785600
15903,1785256070581458688
15927,1951525146646505984
15944,6899212229075129344
15975,6451616129332651008
15978,1853432117990029440
16028,2171184961168788224
16030,6370640710016259840
16033,2274076297221555968
